Year,CO2,CH4,N2O,CO,Unit
294,5.67E-16,1.58E-15,3.16E-14,8.91E-16,W.m-2.kg-1
295,5.67E-16,1.57E-15,3.13E-14,8.91E-16,W.m-2.kg-1
296,5.66E-16,1.57E-15,3.10E-14,8.90E-16,W.m-2.kg-1
297,5.66E-16,1.57E-15,3.08E-14,8.89E-16,W.m-2.kg-1
298,5.65E-16,1.57E-15,3.05E-14,8.88E-16,W.m-2.kg-1
299,5.65E-16,1.57E-15,3.03E-14,8.88E-16,W.m-2.kg-1
300,5.64E-16,1.57E-15,3.00E-14,8.87E-16,W.m-2.kg-1
301,5.64E-16,1.57E-15,2.98E-14,8.86E-16,W.m-2.kg-1
302,5.63E-16,1.57E-15,2.95E-14,8.85E-16,W.m-2.kg-1
303,5.63E-16,1.56E-15,2.93E-14,8.85E-16,W.m-2.kg-1
304,5.63E-16,1.56E-15,2.91E-14,8.84E-16,W.m-2.kg-1
305,5.62E-16,1.56E-15,2.88E-14,8.83E-16,W.m-2.kg-1
306,5.62E-16,1.56E-15,2.86E-14,8.83E-16,W.m-2.kg-1
307,5.61E-16,1.56E-15,2.83E-14,8.82E-16,W.m-2.kg-1
308,5.61E-16,1.56E-15,2.81E-14,8.81E-16,W.m-2.kg-1
309,5.60E-16,1.56E-15,2.79E-14,8.80E-16,W.m-2.kg-1
310,5.60E-16,1.55E-15,2.77E-14,8.80E-16,W.m-2.kg-1
311,5.59E-16,1.55E-15,2.74E-14,8.79E-16,W.m-2.kg-1
312,5.59E-16,1.55E-15,2.72E-14,8.78E-16,W.m-2.kg-1
313,5.58E-16,1.55E-15,2.70E-14,8.77E-16,W.m-2.kg-1
314,5.58E-16,1.55E-15,2.68E-14,8.77E-16,W.m-2.kg-1
315,5.58E-16,1.55E-15,2.65E-14,8.76E-16,W.m-2.kg-1
316,5.57E-16,1.55E-15,2.63E-14,8.75E-16,W.m-2.kg-1
317,5.57E-16,1.55E-15,2.61E-14,8.75E-16,W.m-2.kg-1
318,5.56E-16,1.54E-15,2.59E-14,8.74E-16,W.m-2.kg-1
319,5.56E-16,1.54E-15,2.57E-14,8.73E-16,W.m-2.kg-1
320,5.55E-16,1.54E-15,2.55E-14,8.73E-16,W.m-2.kg-1
321,5.55E-16,1.54E-15,2.52E-14,8.72E-16,W.m-2.kg-1
